Title,Author,Publisher,Genre,Price,Promoted,Dominant_color,Cover_type,Visual_style,Title_word_count,Author_name_prominent,Award_recognition,First_published_date,Page_count,Estimated_reading_time,Rating
The Subtle Art of Not Giving a Fuck,Mark Manson,,,19.99,1,red,hardcover,typographic,8,0,1,,,,
Start with Why,Simon Sinek,,,12.99,0,white,paperback,typographic,3,0,0,,,,
The Housemaid,Freida McFadden,,,11.35,1,blue,paperback,illustration,2,0,1,,,,
The Housemaid´s Secret,Freida McFadden,,,9.59,1,red,paperback,illustration,3,0,1,,,,
Atomic Habits,James Clear,,,19.15,1,white,paperback,typographic,2,0,1,,,,
Onyx Storm,Rebecca Yarros,,,22.7,1,black,hardcover,illustration,2,0,0,,,,
The Vegetarian ,Han Kang,,,12.65,1,white,paperback,illustration,2,1,0,,,,
Elphie,Gregory Maguire,,,21.85,1,black,paperback,symbolic,1,0,0,,,,
Nothing Like The Movies,Lynn Painter,,,12.45,1,purple,paperback,illustration,4,0,1,,,,
1984,George Orwell,,,10.7,1,black,paperback,illustration,1,1,0,,,,
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,,,25.2,1,green,hardcover,illustration,6,0,0,,,,
The Striker,Ana Huang,,,13.8,1,purple,paperback,illustration,2,0,1,,,,
We All Live Here,Jojo Moyes,,,19.7,1,blue,paperback,illustration,4,1,1,,,,
Story of My Life,Lucy Score,,,14.25,1,blue,paperback,illustration,4,1,1,,,,
Little Women,Louisa May Alcott,,,14,1,grey,hardcover,illustration,2,0,0,,,,
The Secret History,Donna Tartt,,,14.2,1,black,paperback,symbolic,3,1,1,,,,
The Fourth Consort,Edward Ashton,,,14,1,pink,paperback,illustration,3,1,0,,,,
Caraval,Stephanie Garber,,,11.75,0,black,paperback,illustration,1,0,1,,,,
Normal People,Sally Rooney,,,12.5,1,red,paperback,illustration,2,1,1,,,,
Orbital,Samantha Harvey,,,9.5,0,black,paperback,symbolic,1,0,1,,,,
The Pumpkin Spice Café,Laurie Gilmore,,,11.85,0,pink,paperback,illustration,4,0,1,,,,
Wild Side,Elsie Silver,,,13.95,0,green,paperback,illustration,2,0,1,,,,
Cleopatra and Frankenstein,Coco Mellors,,,15.3,0,white,paperback,illustration,3,0,1,,,,
Taming 7,Chloe Walsh,,,12.7,0,blue,paperback,symbolic,2,1,0,,,,
Beneath the Stars,Emily McIntire,,,14,0,pink,paperback,illustration,3,0,1,,,,
Three Days in June,Anne Tyler,,,18.45,0,blue,hardcover,illustration,4,1,0,,,,
We Do Not Part,Han Kang,,,25.9,0,yellow,hardcover,symbolic,4,1,1,,,,
The Wood at Midwinter,Susanna Clarke,,,15.9,0,blue,hardcover,illustration,4,1,1,,,,
The Sirens,Emilia Hart,,,12.5,0,blue,paperback,illustration,2,0,1,,,,
Sandwich,Catherine Newman,,,20.5,0,yellow,hardcover,photo,1,0,0,,,,
Butter,Asako Yuzuki,,,18.4,0,yellow,paperback,illustration,1,0,1,,,,
Great Big Beautiful Life,Emily Henry,,,18.25,0,red,paperback,illustration,4,1,1,,,,
The Conditions of Will,Jessa Hastings,,,25.4,0,yellow,hardcover,illustration,4,0,0,,,,
Fearless,Lauren Roberts,,,20.55,0,black,hardcover,illustration,1,0,1,,,,
A Palace Near the Wing,Ai Jiang,,,17.05,0,blue,hardcover,illustration,5,1,1,,,,
King of Nothing,Nathanel Lessore,,,10.2,0,purple,paperback,illustration,3,0,1,,,,
Sunrise on the Reaping,Suzanne Collins,,,23,1,purple,hardcover,illustration,4,0,0,,,,
Mythica,Emily Hauser,,,35.5,0,blue,hardcover,illustration,1,0,0,,,,
This Is Why You Dream,Dr Rahul Jandial,,,22.7,0,white,hardcover,illustration,5,0,1,,,,
The Gruffalo,Julia Donaldson,,,10.25,0,green,hardcover,illustration,2,1,0,,,,
Deep End,Ali Hazelwood,,,14,1,purple,paperback,illustration,2,1,1,,,,
Dream Count,Chimamanda Ngozi Adichie,,,20.6,1,white,paperback,symbolic,2,1,1,,,,
The Strawberry Patch Pancake House,Laurie Gilmore,,,14,1,yellow,paperback,illustration,5,0,0,,,,
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,,,17,1,yellow,hardcover,illustration,6,1,0,,,,
Days at Morisaki Bookshop,Satoshi Yagisawa,,,17,1,yellow,paperback,illustration,4,0,1,,,,
Greek Lessons,Han Kang,,,14,1,white,paperback,symbolic,2,1,1,,,,
The Let Them Theory,Mel Robbins,,,14.45,1,green,paperback,typographic,4,0,1,,,,
Intermezzo,Sally Rooney,,,18.5,1,blue,paperback,illustration,1,1,0,,,,
Iron Flame,Rebecca Yarros,,,32.9,1,orange,hardcover,illustration,2,0,1,,,,
Phantasma,Kaylie Smith,,,15.9,1,red,paperback,illustration,1,0,0,,,,
Blue Sisters,Coco Mellors,,,18.25,1,white,paperback,illustration,2,1,0,,,,
The Creative Act: A Way of Being,Rick Rubin,,,23.95,1,grey,hardcover,symbolic,7,0,0,,,,
The Seven Year Slip,Ashley Poston,,,12.3,1,yellow,paperback,illustration,4,1,1,,,,
Fourth Wing,Rebecca Yarros,,,29.5,1,yellow,hardcover,illustration,2,0,1,,,,
Binding 13,Chloe Walsh,,,19.9,1,red,paperback,symbolic,2,1,0,,,,
Wind and Truth,Brandon Sanderson,,,20.5,0,blue,paperback,illustration,3,1,1,,,,
Babel,Rebecca F. Kuang,,,14,0,black,paperback,illustration,1,1,1,,,,
Blackwater I: The Flood,Michael McDowell,,,14,0,yellow,paperback,illustration,4,0,0,,,,
We Who Wrestle with God,Jordan B. Peterson,,,23.8,0,blue,paperback,typographic,5,0,0,,,,
Nexus,Yuval Noah Harari,,,22,0,white,paperback,symbolic,1,1,1,,,,
Letters from the Ginza Shihodo Stationery Shop,Kenji Ueda,,,14.9,0,yellow,paperback,illustration,7,0,0,,,,
The Restaurant of Lost Recipes,Hisashi Kashiwai,,,12.6,0,purple,paperback,illustration,5,0,1,,,,
Long Island,Colm Tóibín,,,18.5,0,orange,paperback,photo,2,1,1,,,,
Yellowface,Rebecca F. Kuang,,,12.6,0,yellow,paperback,symbolic,1,0,1,,,,
It Lasts Forever and Then It´s Over,Anne de Marcken,,,16,0,blue,paperback,typographic,7,0,0,,,,
The Housemaid Is Watching,Freida McFadden,,,11.7,1,white,paperback,illustration,4,0,1,,,,
Baumgartner,Paul Auster,,,20.9,0,grey,hardcover,photo,1,1,0,,,,
My Life in Full,Indra Nooyi,,,19.8,0,grey,hardcover,photo,4,1,0,,,,
Conversations on Love,Natasha Lunn,,,18.8,0,red,paperback,typographic,3,0,1,,,,
All About Love,Bell Hooks,,,15.1,0,red,paperback,typographic,3,1,1,,,,
Everything I Know About Love,Dolly Alderton,,,11.3,0,yellow,paperback,typographic,5,0,1,,,,
Solito,Javier Zamora,,,17,0,white,paperback,illustration,1,0,1,,,,
Not In Love,Ali Hazelwood,,,14.4,0,pink,paperback,illustration,3,1,1,,,,
Happy Place,Emily Henry,,,13.2,0,pink,paperback,illustration,2,1,1,,,,
A Court of Thorns and Roses,Sarah J. Maas,,,9.5,0,red,paperback,illustration,6,0,1,,,,
Just for the Summer,Abby Jimenez,,,19.4,0,red,paperback,illustration,4,1,1,,,,
Funny Story,Emily Henry,,,13.05,0,blue,paperback,illustration,2,1,1,,,,
Play Along,Liz Tomforde,,,12.6,0,purple,paperback,photo,2,0,0,,,,
I Who Have Never Known Men,Jacqueline Harpman,,,12.6,1,black,paperback,photo,6,0,0,,,,
The Life Impossible,Matt Haig,,,18.7,1,blue,paperback,illustration,3,1,1,,,,
